Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,PRE - ORDER DELIVERY (product.metafields.custom.pre_order_delivery),Pyramid Description (product.metafields.custom.pyramid_description),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Low stock threshold (product.metafields.sam.lowstockthreshold),Color (product.metafields.shopify.color-pattern),Dispenser type (product.metafields.shopify.dispenser-type),Fragrance (product.metafields.shopify.fragrance),Incense type (product.metafields.shopify.incense-type),Material (product.metafields.shopify.material),Occasion (product.metafields.shopify.occasion),Olfactory family (product.metafields.shopify.olfactory-family),Product form (product.metafields.shopify.product-form),Scent (product.metafields.shopify.scent),Season (product.metafields.shopify.season),Target gender (product.metafields.shopify.target-gender),Usage type (product.metafields.shopify.usage-type),EasifyBoxBuilderUrl (product.metafields._easifyboxbuilder.url),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Arab Emirates,Price / United Arab Emirates,Compare At Price / United Arab Emirates,Included / Bahrain,Price / Bahrain,Compare At Price / Bahrain,Included / KSA,Price / KSA,Compare At Price / KSA,Included / Kuwait,Price / Kuwait,Compare At Price / Kuwait,Included / NORTH AFRICA,Price / NORTH AFRICA,Compare At Price / NORTH AFRICA,Included / Oman,Price / Oman,Compare At Price / Oman,Included / Qatar,Price / Qatar,Compare At Price / Qatar,Status
saqr-al-badiya-extrait-de-parfum-spray-for-men-with-aquatic-notes-shop-online-dubai-uae,SAQR AL BADIYA 100 ML EXTRAIT DE PARFUM SPRAY FOR MEN,"<p>Experience the essence of rugged elegance with SAQR AL BADIYA, a sophisticated Eau de Parfum crafted for men who embrace strength and charisma. The fragrance opens with vibrant top notes of saffron and bergamot, creating a bold and captivating introduction. At its heart, the refreshing blend of green tea and cedar adds depth and refinement, while the base notes of leather, beeswax, and woody undertones leave a warm and enduring trail.</p>
<p>Saqr Al Badiya is a tribute to timeless masculinity and a perfect companion for every occasion</p>",Khadlaj-perfumes,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,PERFUME SPRAY,"30% offer, Deals, Men, Perfume Spray",true,Size,100 ML,,,,,,,,'6291107978765,1000.0,shopify,deny,manual,75.00,140.00,true,true,,,,,'6291107978765,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/3_c731ae61-af1b-42d1-b131-10ec842e6fa2.jpg?v=1783947616,1,SAQR AL BADIYA 100 ML EXTRAIT DE PARFUM SPRAY FOR MEN - Khadlaj Perfumes,false,Buy Saqr Al Badiya Perfume for Men Online in Dubai | Khadlaj,Looking for Men's Perfume? Khadlaj Perfumes Offers Saqr Al Badiya Extrait de Parfum with Fresh Aquatic Notes and Bold Aroma. Shop Online in UAE Now!,479,,,,,,,,,,,,"<div class=""pyramid-section_lists""><h6 style=""font-weight:600;"">Top Notes</h6>
<p>Saffron, Bergamot</p>
</div>
<div class=""pyramid-section_lists""><h6 style=""font-weight:600;"">Middle Notes</h6>
<p>Green Tea, Cedar</p>
</div>
<div class=""pyramid-section_lists""><h6 style=""font-weight:600;"">Base Notes</h6>
<p>Leather, Beeswax, Woody</p>
</div>",,,,,,,,,,everyday; formal; casual,,,tea-tree; aquatic; citrus; woody,fall; spring,male,,,,g,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
saqr-al-badiya-extrait-de-parfum-spray-for-men-with-aquatic-notes-shop-online-dubai-uae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/5_600a2e59-b23a-4cb9-b3c2-264978c89095.jpg?v=1734505262,2,SAQR AL BADIYA 100 ML EXTRAIT DE PARFUM SPRAY FOR MEN - Khadlaj Perfumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saqr-al-badiya-extrait-de-parfum-spray-for-men-with-aquatic-notes-shop-online-dubai-uae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/1_861b563d-c8d8-4dd9-8eec-c71b7df34330.jpg?v=1734505060,3,SAQR AL BADIYA 100 ML EXTRAIT DE PARFUM SPRAY FOR MEN - Khadlaj Perfumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saqr-al-badiya-extrait-de-parfum-spray-for-men-with-aquatic-notes-shop-online-dubai-uae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/4_194e3356-024d-43ef-8337-4c2c49092619.jpg?v=1734505337,4,SAQR AL BADIYA 100 ML EXTRAIT DE PARFUM SPRAY FOR MEN - Khadlaj Perfumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rasayel-shagaf-100-ml-edp-de-parfum-spray-for-men,RASAYEL SHAGAF 100 ML EAU DE PARFUM SPRAY FOR MEN,"<p data-start=""0"" data-end=""165"" class=""PDq2pG_selectionAnchorContainer""><strong data-start=""0"" data-end=""13"">Top Notes</strong><br data-start=""13"" data-end=""16"">A crisp and energising opening of apple, aldehydes, grapefruit, and ginger delivers a bright burst of fruity freshness with a sparkling, modern edge.<span aria-hidden=""true"" class=""PDq2pG_selectionAnchor""></span></p>
<p data-start=""167"" data-end=""341""><strong data-start=""167"" data-end=""183"">Middle Notes</strong><br data-start=""183"" data-end=""186"">Lavender, sage, and geranium form an aromatic heart that is clean, herbal, and elegantly balanced, bringing a refined masculine character to the fragrance.</p>
<p data-start=""343"" data-end=""532"" data-is-last-node="""" data-is-only-node=""""><strong data-start=""343"" data-end=""357"">Base Notes</strong><br data-start=""357"" data-end=""360"">The scent settles into a warm, long-lasting base of tonka bean, cedar, olibanum, and patchouli, creating a smooth woody trail with depth, richness, and subtle smoky warmth.</p>",Khadlaj-perfumes,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,PERFUME SPRAY,"Deals, Men, Perfume Spray",true,Size,100 ML,,,,,,,,'6291107977867,500.0,shopify,deny,manual,50.00,90.00,true,true,,,,,'6291107977867,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/1_2d82819d-6f72-4cf2-a7cd-32afa93a490d.jpg?v=1776230769,1,RASAYEL SHAGAF 100 ML EAU DE PARFUM SPRAY FOR MEN - Khadlaj Perfumes,false,KHADLAJ RASAYEL SHAGAF 100 ML EDP SPRAY FOR MEN,,479,,,,,,,,,,,,,,,,,,,,,,everyday; formal; casual,,,citrus; fruity; lavender; vanilla,fall; winter; spring; summer,male,,,,g,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
rasayel-shagaf-100-ml-edp-de-parfum-spray-for-men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/2_ab0ed6b5-ec07-4047-93e1-f6fa159c44df.jpg?v=1776230769,2,RASAYEL SHAGAF 100 ML EAU DE PARFUM SPRAY FOR MEN - Khadlaj Perfumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rasayel-shagaf-100-ml-edp-de-parfum-spray-for-men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/3_32d7c1a6-95e5-4f8e-874f-f2c86ae58a5a.jpg?v=1776230769,3,RASAYEL SHAGAF 100 ML EAU DE PARFUM SPRAY FOR MEN - Khadlaj Perfumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rasayel-vid-100-ml-extrait-de-parfum-spray-copy,RASAYEL VID 100 ML EAU DE PARFUM SPRAY FOR WOMEN,"<p data-start=""0"" data-end=""162"" class=""PDq2pG_selectionAnchorContainer""><strong data-start=""0"" data-end=""13"">Top Notes</strong><br data-start=""13"" data-end=""16"">A vibrant and juicy opening of strawberry, grapes, and orange creates a bright, fruity burst that feels fresh, playful, and instantly captivating.<span aria-hidden=""true"" class=""PDq2pG_selectionAnchor""></span></p>
<p data-start=""164"" data-end=""356""><strong data-start=""164"" data-end=""180"">Middle Notes</strong><br data-start=""180"" data-end=""183"">The fragrance unfolds into an elegant floral heart of rose, white musk, gardenia, jasmine, ylang-ylang, and lily, adding a soft, romantic, and beautifully refined character.</p>
<p data-start=""358"" data-end=""509"" data-is-last-node="""" data-is-only-node=""""><strong data-start=""358"" data-end=""372"">Base Notes</strong><br data-start=""372"" data-end=""375"">A warm and lasting blend of tonka bean, amber, and sandalwood settles on the skin, leaving behind a smooth, creamy, and sensual trail.</p>",Khadlaj-perfumes,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes > Eaux de Parfum,PERFUME SPRAY,"Deals, Perfume Spray, Women",true,Size,100 ML,,,,,,,,'6291107977874,500.0,shopify,deny,manual,50.00,90.00,true,true,,,,,'6291107977874,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/1_b14b9e94-d424-46f2-b70a-42bb9e7f0859.jpg?v=1776230721,1,RASAYEL VID 100 ML EAU DE PARFUM SPRAY FOR WOMEN - Khadlaj Perfumes,false,KHADLAJ RASAYEL VID 100 ML EXTRAIT DE PARFUM SPRAY FOR WOMEN,,479,,,,,,,,,,,,,,,,,,,,,,everyday; formal; casual,,,citrus; fruity; sandalwood; spicy,fall; winter; spring; summer,female,,,,g,,,true,,,true,,,true,,,true,,,true,,,true,,,true,,,active
rasayel-vid-100-ml-extrait-de-parfum-spray-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/2_6aa7eaae-bcbe-487e-9be0-0aea3cc91b93.jpg?v=1776230721,2,RASAYEL VID 100 ML EAU DE PARFUM SPRAY FOR WOMEN - Khadlaj Perfumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rasayel-vid-100-ml-extrait-de-parfum-spray-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/6119/8023/files/3_01262bd2-f253-4b3d-9e5b-98a955cfa0a8.jpg?v=1776230721,3,RASAYEL VID 100 ML EAU DE PARFUM SPRAY FOR WOMEN - Khadlaj Perfumes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
