Handle,Title,Vendor,Type,Published,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
cream-velvet,Cream Velvet,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
shiyaaka-sky,Shiyaaka Sky,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
instagram,instagram,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
linkedin,linkedin,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
mohamed-iqbal-abdul-sattar,Mohamed Iqbal Abdul Sattar,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
facebook,facebook,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
island,Island,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
shiyaaka-gold,SHIYAAKA GOLD,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
shiyaaka-shadow,SHIYAAKA SHADOW,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
priya-nair,Priya Nair,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
hareem-al-sultan,Hareem Al Sultan,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
global,Global,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
youtube,youtube,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
hamad-al-dosari,Hamad Al Dosari,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
cloud-candy,Cloud Candy,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
lafede,Lafede,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
l,L,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
nuha-cherry-blush,Nuha Cherry Blush,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
shiyaaka-snow,SHIYAAKA SNOW,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
shiyaaka-sky,SHIYAAKA SKY,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
mocha-latte,Mocha Latte,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
tiktok,tiktok,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
reem-al-hashimi,Reem Al Hashimi,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
fursan,Fursan,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
master-perfumery,Master Perfumery,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
mohammed-al-ghamdi,Mohammed Al Ghamdi,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
shiyaaka-blue,SHIYAAKA BLUE,Khadlaj Perfumes,Perfume,TRUE,Title,Default Title,shopify,100,deny,manual,150,TRUE,TRUE,,1,active
